"","age","workclass","fnlwgt","education","educational.num","marital.status","occupation","relationship","race","gender","capital.gain","capital.loss","hours.per.week","native.country","income","relationship.new","income.new"
"23671",29,"Private",233421,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",3411,0,45,"United-States","<=50K","Married",0
"43488",28,"Federal-gov",53147,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"47812",52,"Private",173987,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"26461",43,"Self-emp-inc",35662,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,70,"United-States",">50K","Married",1
"16944",27,"Private",111900,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"41957",27,"Private",210765,"Assoc-voc",11,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,40,"United-States","<=50K","Not-in-family",0
"11216",20,"Private",214238,"11th",7,"Never-married","Sales","Other-relative","White","Female",0,0,32,"Mexico","<=50K","Other-relative",0
"17000",22,"Private",214399,"Some-college",10,"Never-married","Sales","Own-child","White","Female",0,0,15,"United-States","<=50K","Own-child",0
"9927",44,"Private",182383,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,35,"United-States","<=50K","Married",0
"6501",36,"Private",65382,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,50,"United-States","<=50K","Married",0
"25178",63,"Private",137192,"Bachelors",13,"Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",0,0,40,"South","<=50K","Married",0
"27068",30,"Private",196385,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"United-States",">50K","Married",1
"37316",44,"Self-emp-not-inc",219591,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"22018",28,"Private",190367,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,45,"United-States","<=50K","Married",0
"30047",72,"Private",177769,"10th",6,"Married-civ-spouse","Sales","Husband","White","Male",0,0,15,"United-States","<=50K","Married",0
"6407",26,"Private",158397,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,40,"United-States","<=50K","Own-child",0
"4175",26,"Private",124111,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,35,"United-States","<=50K","Not-in-family",0
"14791",38,"Private",65291,"Bachelors",13,"Married-civ-spouse","Tech-support","Wife","White","Female",0,0,24,"United-States","<=50K","Married",0
"42776",31,"Private",309620,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,0,6,"South","<=50K","Married",0
"22650",22,"Private",185279,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,16,"United-States","<=50K","Own-child",0
"12568",36,"Private",162358,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1408,40,"United-States","<=50K","Not-in-family",0
"24594",28,"Private",144521,"HS-grad",9,"Never-married","Other-service","Own-child","Black","Female",0,0,40,"United-States","<=50K","Own-child",0
"24391",20,"Private",47791,"12th",8,"Divorced","Other-service","Not-in-family","White","Female",0,0,10,"United-States","<=50K","Not-in-family",0
"24549",39,"Private",110713,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"United-States",">50K","Married",1
"23481",48,"Private",20296,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,37,"United-States",">50K","Not-in-family",1
"5828",54,"Private",87205,"HS-grad",9,"Separated","Adm-clerical","Not-in-family","White","Female",0,0,45,"United-States","<=50K","Not-in-family",0
"21508",51,"Private",162944,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"45415",30,"Private",356015,"11th",7,"Married-spouse-absent","Handlers-cleaners","Not-in-family","Amer-Indian-Eskimo","Male",0,0,40,"Mexico","<=50K","Not-in-family",0
"14051",35,"State-gov",43712,"Assoc-voc",11,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"United-States","<=50K","Married",0
"26526",20,"Private",238685,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,30,"United-States","<=50K","Not-in-family",0
"15087",31,"Private",198513,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","<=50K","Married",0
"24151",50,"Federal-gov",69614,"10th",6,"Separated","Craft-repair","Not-in-family","White","Male",0,0,56,"United-States","<=50K","Not-in-family",0
"3378",35,"Private",107302,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"48829",43,"Private",260761,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"Mexico","<=50K","Married",0
"32175",62,"Federal-gov",125155,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,38,"United-States","<=50K","Married",0
"16446",45,"Self-emp-not-inc",201080,"Masters",14,"Married-civ-spouse","Sales","Husband","White","Male",0,0,40,"United-States",">50K","Married",1
"31993",27,"Private",166210,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"United-States","<=50K","Not-in-family",0
"22603",20,"Private",116666,"Some-college",10,"Never-married","Sales","Own-child","Asian-Pac-Islander","Male",0,0,8,"India","<=50K","Own-child",0
"42493",46,"Private",216164,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"United-States","<=50K","Married",0
"27336",19,"Private",344414,"Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"United-States","<=50K","Own-child",0
"18515",35,"Private",178322,"Assoc-voc",11,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"Germany",">50K","Married",1
"34332",36,"Private",189382,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States",">50K","Married",1
"14554",51,"Private",163606,"Some-college",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","<=50K","Unmarried",0
"42377",41,"Private",165798,"5th-6th",3,"Divorced","Other-service","Unmarried","White","Female",0,0,40,"Puerto-Rico","<=50K","Unmarried",0
